age_group,count,election_type,electoral_district,year
54-59,5781,βουλευτικές,ΚΑΣΤΟΡΙΑΣ,2012
54-59,9876,βουλευτικές,ΚΕΡΚΥΡΑΣ,2012
54-59,4828,βουλευτικές,ΚΕΦΑΛΛΗΝΙΑΣ,2012
54-59,9512,βουλευτικές,ΚΙΛΚΙΣ,2012
54-59,15377,βουλευτικές,ΚΟΖΑΝΗΣ,2012
54-59,12825,βουλευτικές,ΚΟΡΙΝΘΙΑΣ,2012
54-59,10584,βουλευτικές,ΚΥΚΛΑΔΩΝ,2012
54-59,10890,βουλευτικές,ΛΑΚΩΝΙΑΣ,2012
54-59,22396,βουλευτικές,ΛΑΡΙΣΗΣ,2012
54-59,5890,βουλευτικές,ΛΑΣΙΘΙΟΥ,2012
54-59,9774,βουλευτικές,ΛΕΣΒΟΥ,2012
